Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Rank:1,Major:Petroleum Engineering,Degree Type:Bachelors,"Early Career Pay:$92,300","Mid-Career Pay:$182,000",% High Meaning:69%
Rank:2,Major:Electrical Engineering & Computer Science (EECS),Degree Type:Bachelors,"Early Career Pay:$101,200","Mid-Career Pay:$152,300",% High Meaning:46%
Rank:3,Major:Applied Economics and Management,Degree Type:Bachelors,"Early Career Pay:$60,900","Mid-Career Pay:$139,600",% High Meaning:67%
Rank:3,Major:Operations Research,Degree Type:Bachelors,"Early Career Pay:$78,400","Mid-Career Pay:$139,600",% High Meaning:52%
Rank:5,Major:Public Accounting,Degree Type:Bachelors,"Early Career Pay:$60,000","Mid-Career Pay:$138,800",% High Meaning:49%
Rank:6,Major:Chemical Engineering/Materials Science & Engineering,Degree Type:Bachelors,"Early Career Pay:$74,500","Mid-Career Pay:$137,800",% High Meaning:60%
Rank:7,Major:Quantitative Business Analysis,Degree Type:Bachelors,"Early Career Pay:$67,900","Mid-Career Pay:$136,200",% High Meaning:55%
Rank:8,Major:Pharmacy,Degree Type:Bachelors,"Early Career Pay:$66,300","Mid-Career Pay:$133,200",% High Meaning:79%
Rank:9,Major:Aeronautics & Astronautics,Degree Type:Bachelors,"Early Career Pay:$74,000","Mid-Career Pay:$133,100",% High Meaning:60%
Rank:10,Major:Systems Engineering,Degree Type:Bachelors,"Early Career Pay:$74,000","Mid-Career Pay:$132,900",% High Meaning:54%
Rank:11,Major:Electrical Power Engineering,Degree Type:Bachelors,"Early Career Pay:$73,100","Mid-Career Pay:$130,700",% High Meaning:67%
Rank:12,Major:Actuarial Mathematics,Degree Type:Bachelors,"Early Career Pay:$61,900","Mid-Career Pay:$130,500",% High Meaning:50%
Rank:13,Major:Aerospace Studies,Degree Type:Bachelors,"Early Career Pay:$50,300","Mid-Career Pay:$130,300",% High Meaning:-
Rank:14,Major:Chemical Engineering,Degree Type:Bachelors,"Early Career Pay:$73,500","Mid-Career Pay:$128,900",% High Meaning:56%
Rank:15,Major:Actuarial Science,Degree Type:Bachelors,"Early Career Pay:$64,700","Mid-Career Pay:$128,700",% High Meaning:42%
Rank:16,Major:Information & Computer Science,Degree Type:Bachelors,"Early Career Pay:$70,300","Mid-Career Pay:$127,600",% High Meaning:60%
Rank:17,Major:Aeronautical Engineering,Degree Type:Bachelors,"Early Career Pay:$71,600","Mid-Career Pay:$125,900",% High Meaning:64%
Rank:18,Major:Operations & Information Systems Management,Degree Type:Bachelors,"Early Career Pay:$63,800","Mid-Career Pay:$125,100",% High Meaning:31%
Rank:18,Major:Political Economy,Degree Type:Bachelors,"Early Career Pay:$58,200","Mid-Career Pay:$125,100",% High Meaning:34%
Rank:20,Major:Marine Engineering,Degree Type:Bachelors,"Early Career Pay:$74,700","Mid-Career Pay:$125,000",% High Meaning:64%
Rank:21,Major:Computer Systems Engineering,Degree Type:Bachelors,"Early Career Pay:$74,600","Mid-Career Pay:$124,800",% High Meaning:49%
Rank:22,Major:Nuclear Engineering,Degree Type:Bachelors,"Early Career Pay:$73,100","Mid-Career Pay:$124,500",% High Meaning:63%
Rank:23,Major:Computer Science (CS) & Engineering,Degree Type:Bachelors,"Early Career Pay:$74,000","Mid-Career Pay:$124,000",% High Meaning:44%
Rank:24,Major:Corporate Accounting & Finance,Degree Type:Bachelors,"Early Career Pay:$61,200","Mid-Career Pay:$123,600",% High Meaning:57%
Rank:25,Major:Electrical & Computer Engineering (ECE),Degree Type:Bachelors,"Early Career Pay:$73,900","Mid-Career Pay:$123,300",% High Meaning:49%
Rank:26,Major:Computer Engineering (CE),Degree Type:Bachelors,"Early Career Pay:$74,600","Mid-Career Pay:$123,200",% High Meaning:46%
Rank:27,Major:Econometrics,Degree Type:Bachelors,"Early Career Pay:$60,700","Mid-Career Pay:$123,000",% High Meaning:30%
Rank:28,Major:Building Science,Degree Type:Bachelors,"Early Career Pay:$51,100","Mid-Career Pay:$122,500",% High Meaning:51%
Rank:29,Major:Mechatronics,Degree Type:Bachelors,"Early Career Pay:$70,200","Mid-Career Pay:$122,300",% High Meaning:47%
Rank:30,Major:Quantitative Economics,Degree Type:Bachelors,"Early Career Pay:$62,000","Mid-Career Pay:$121,900",% High Meaning:45%
Rank:31,Major:Foreign Affairs,Degree Type:Bachelors,"Early Career Pay:$52,200","Mid-Career Pay:$121,800",% High Meaning:40%
Rank:31,Major:Welding Engineering,Degree Type:Bachelors,"Early Career Pay:$76,900","Mid-Career Pay:$121,800",% High Meaning:44%
Rank:33,Major:Economics and Mathematics,Degree Type:Bachelors,"Early Career Pay:$65,000","Mid-Career Pay:$121,400",% High Meaning:33%
Rank:33,Major:Electrical Engineering (EE),Degree Type:Bachelors,"Early Career Pay:$71,800","Mid-Career Pay:$121,400",% High Meaning:55%
Rank:35,Major:Cognitive Science,Degree Type:Bachelors,"Early Career Pay:$64,100","Mid-Career Pay:$121,100",% High Meaning:41%
Rank:35,Major:Control Engineering,Degree Type:Bachelors,"Early Career Pay:$69,900","Mid-Career Pay:$121,100",% High Meaning:63%
Rank:37,Major:Geophysics,Degree Type:Bachelors,"Early Career Pay:$56,900","Mid-Career Pay:$120,600",% High Meaning:46%
Rank:37,Major:Pharmacology,Degree Type:Bachelors,"Early Career Pay:$55,000","Mid-Career Pay:$120,600",% High Meaning:71%
Rank:39,Major:Instrumentation & Control Engineering,Degree Type:Bachelors,"Early Career Pay:$69,000","Mid-Career Pay:$120,500",% High Meaning:-
Rank:40,Major:Computational & Applied Mathematics,Degree Type:Bachelors,"Early Career Pay:$69,700","Mid-Career Pay:$120,100",% High Meaning:43%
Rank:40,Major:Marine Transportation Management,Degree Type:Bachelors,"Early Career Pay:$67,800","Mid-Career Pay:$120,100",% High Meaning:47%
Rank:42,Major:Aerospace Engineering,Degree Type:Bachelors,"Early Career Pay:$70,700","Mid-Career Pay:$119,800",% High Meaning:57%
Rank:43,Major:Ocean Engineering (OE),Degree Type:Bachelors,"Early Career Pay:$65,100","Mid-Career Pay:$119,700",% High Meaning:51%
Rank:44,Major:Astronomy,Degree Type:Bachelors,"Early Career Pay:$54,300","Mid-Career Pay:$119,600",% High Meaning:39%
Rank:44,Major:Mechanical & Aeronautical Engineering,Degree Type:Bachelors,"Early Career Pay:$66,900","Mid-Career Pay:$119,600",% High Meaning:60%
Rank:46,Major:Chemical & Biomolecular Engineering,Degree Type:Bachelors,"Early Career Pay:$74,000","Mid-Career Pay:$118,700",% High Meaning:48%
Rank:47,Major:Computer Science (CS) & Mathematics,Degree Type:Bachelors,"Early Career Pay:$66,800","Mid-Career Pay:$118,500",% High Meaning:43%
Rank:48,Major:Bioscience,Degree Type:Bachelors,"Early Career Pay:$48,400","Mid-Career Pay:$118,300",% High Meaning:-
Rank:49,Major:Electrical & Electronics Engineering (EEE),Degree Type:Bachelors,"Early Career Pay:$71,300","Mid-Career Pay:$118,100",% High Meaning:55%
Rank:50,Major:Metallurgical Engineering,Degree Type:Bachelors,"Early Career Pay:$79,100","Mid-Career Pay:$117,700",% High Meaning:55%
Rank:51,Major:Aeronautical/Aerospace Engineering Technology,Degree Type:Bachelors,"Early Career Pay:$73,400","Mid-Career Pay:$117,500",% High Meaning:58%
Rank:51,Major:Materials Engineering,Degree Type:Bachelors,"Early Career Pay:$69,100","Mid-Career Pay:$117,500",% High Meaning:48%
Rank:53,Major:Accounting & Economics,Degree Type:Bachelors,"Early Career Pay:$61,600","Mid-Career Pay:$117,400",% High Meaning:43%
Rank:54,Major:Industrial & Systems Engineering,Degree Type:Bachelors,"Early Career Pay:$69,900","Mid-Career Pay:$117,300",% High Meaning:49%
Rank:55,Major:Optical Science & Engineering,Degree Type:Bachelors,"Early Career Pay:$67,600","Mid-Career Pay:$117,100",% High Meaning:65%
Rank:56,Major:Computer Science (CS),Degree Type:Bachelors,"Early Career Pay:$70,700","Mid-Career Pay:$116,500",% High Meaning:42%
Rank:57,Major:Biomedical Engineering (BME),Degree Type:Bachelors,"Early Career Pay:$67,700","Mid-Career Pay:$116,300",% High Meaning:72%
Rank:58,Major:Materials Science,Degree Type:Bachelors,"Early Career Pay:$62,700","Mid-Career Pay:$116,200",% High Meaning:-
Rank:59,Major:Electronics & Communications Engineering,Degree Type:Bachelors,"Early Career Pay:$61,500","Mid-Career Pay:$116,100",% High Meaning:55%
Rank:59,Major:Mining Engineering,Degree Type:Bachelors,"Early Career Pay:$75,200","Mid-Career Pay:$116,100",% High Meaning:70%
Rank:61,Major:Engineering,Degree Type:Bachelors,"Early Career Pay:$66,500","Mid-Career Pay:$116,000",% High Meaning:59%
Rank:62,Major:Applied Mathematics,Degree Type:Bachelors,"Early Career Pay:$64,400","Mid-Career Pay:$115,500",% High Meaning:39%
Rank:62,Major:Integrated Science & Technology,Degree Type:Bachelors,"Early Career Pay:$62,500","Mid-Career Pay:$115,500",% High Meaning:56%
Rank:64,Major:Petroleum Land Management,Degree Type:Bachelors,"Early Career Pay:$60,600","Mid-Career Pay:$115,400",% High Meaning:70%
Rank:65,Major:Bioengineering (BioE),Degree Type:Bachelors,"Early Career Pay:$67,400","Mid-Career Pay:$115,000",% High Meaning:67%
Rank:66,Major:Software Engineering,Degree Type:Bachelors,"Early Career Pay:$71,100","Mid-Career Pay:$114,700",% High Meaning:42%
Rank:67,Major:Operations Management & Information Systems,Degree Type:Bachelors,"Early Career Pay:$61,900","Mid-Career Pay:$114,500",% High Meaning:39%
Rank:68,Major:Statistics,Degree Type:Bachelors,"Early Career Pay:$63,700","Mid-Career Pay:$114,400",% High Meaning:42%
Rank:69,Major:Business Analysis,Degree Type:Bachelors,"Early Career Pay:$59,200","Mid-Career Pay:$114,300",% High Meaning:49%
Rank:69,Major:Computer & Information Science,Degree Type:Bachelors,"Early Career Pay:$60,100","Mid-Career Pay:$114,300",% High Meaning:55%
Rank:71,Major:Physics,Degree Type:Bachelors,"Early Career Pay:$62,300","Mid-Career Pay:$113,800",% High Meaning:49%
Rank:72,Major:Physics & Mathematics,Degree Type:Bachelors,"Early Career Pay:$61,500","Mid-Career Pay:$113,600",% High Meaning:47%
Rank:73,Major:Physics & Astronomy,Degree Type:Bachelors,"Early Career Pay:$54,000","Mid-Career Pay:$112,900",% High Meaning:43%
Rank:74,Major:Construction Engineering Management,Degree Type:Bachelors,"Early Career Pay:$64,800","Mid-Career Pay:$112,700",% High Meaning:55%
Rank:75,Major:Physician Assistant Studies,Degree Type:Bachelors,"Early Career Pay:$92,900","Mid-Career Pay:$112,200",% High Meaning:86%
Rank:76,Major:Mechanical Engineering (ME),Degree Type:Bachelors,"Early Career Pay:$67,600","Mid-Career Pay:$111,500",% High Meaning:51%
Rank:77,Major:Industrial Engineering (IE),Degree Type:Bachelors,"Early Career Pay:$68,300","Mid-Career Pay:$111,400",% High Meaning:45%
Rank:78,Major:Entrepreneurship & Marketing,Degree Type:Bachelors,"Early Career Pay:$48,500","Mid-Career Pay:$111,100",% High Meaning:49%
Rank:78,Major:Engineering Science,Degree Type:Bachelors,"Early Career Pay:$64,700","Mid-Career Pay:$111,100",% High Meaning:45%
