url,occupation_name,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
https://www.bls.gov/ooh/healthcare/veterinarians.htm,     Veterinarians,"$95,460 per year  $45.90 per hour",Doctoral or professional degree,None,None,89200,16% (Much faster than average),14200
https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,     Veterinary assistants and laboratory animal caretakers,"$28,590 per year  $13.75 per hour",High school diploma or equivalent,None,Short-term on-the-job training,99500,16% (Much faster than average),15700
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#399098,"     Crematory operators and personal care and service workers, all other",,,,,,,
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,     First-line supervisors of gambling services workers,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000
https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,     Veterinary technologists and technicians,"$35,320 per year  $16.98 per hour",Associate's degree,None,None,112900,16% (Much faster than average),18300
https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,     Occupational therapists,"$84,950 per year  $40.84 per hour",Master's degree,None,None,143300,16% (Much faster than average),22700
https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,     Industrial machinery mechanics,"$52,860 per year  $25.41 per hour",High school diploma or equivalent,None,See How to Become One,521300,13% (Much faster than average),70100
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,     Registered nurses,"$73,300 per year  $35.24 per hour",Bachelor's degree,None,None,3096700,7% (Faster than average),221900
https://www.bls.gov/ooh/media-and-communication/announcers.htm,"     Media and communication workers, all other","$39,790 per year  $19.13 per hour",See How to Become One,None,See How to Become One,76000,1% (Slower than average),700
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#393093,"     Locker room, coatroom, and dressing room attendants",,,,,,,
https://www.bls.gov/ooh/healthcare/recreational-therapists.htm,     Recreational therapists,"$48,220 per year  $23.18 per hour",Bachelor's degree,None,None,19900,8% (Much faster than average),1700
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,     Archivists,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200
https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm,"     Arbitrators, mediators, and conciliators","$63,930 per year  $30.74 per hour",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,7300,8% (Much faster than average),600
https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,"     Compensation, benefits, and job analysis specialists","$64,560 per year  $31.04 per hour",Bachelor's degree,Less than 5 years,None,94400,8% (Much faster than average),7500
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,     Gambling dealers,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000
https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,"     Meeting, convention, and event planners","$50,600 per year  $24.33 per hour",Bachelor's degree,None,None,138600,8% (Much faster than average),10800
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#299098,"     Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other",,,,,,,
https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm,     Dietitians and nutritionists,"$61,270 per year  $29.46 per hour",Bachelor's degree,None,Internship/residency,74200,8% (Much faster than average),5900
https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,"     Environmental scientists and specialists, including health","$71,360 per year  $34.31 per hour",Bachelor's degree,None,None,90900,8% (Much faster than average),7100
https://www.bls.gov/ooh/math/actuaries.htm,     Actuaries,"$108,350 per year  $52.09 per hour",Bachelor's degree,None,Long-term on-the-job training,27700,18% (Much faster than average),4900
https://www.bls.gov/ooh/healthcare/physical-therapists.htm,     Physical therapists,"$89,440 per year  $43.00 per hour",Doctoral or professional degree,None,None,258200,18% (Much faster than average),47000
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Nursing instructors and teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,     Market research analysts and marketing specialists,"$63,790 per year  $30.67 per hour",Bachelor's degree,None,None,738100,18% (Much faster than average),130300
https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,     Computer user support specialists,"$54,760 per year  $26.33 per hour",See How to Become One,None,None,882300,8% (Much faster than average),67300
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,     Loan interviewers and clerks,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#371011,     First-line supervisors of housekeeping and janitorial workers,,,,,,,
https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,"     Educational, guidance, and career counselors and advisors","$57,040 per year  $27.42 per hour",Master's degree,None,None,333500,8% (Much faster than average),26800
https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm,"     Medical dosimetrists, medical records specialists, and health technologists and technicians, all other","$42,630 per year  $20.50 per hour",Postsecondary nondegree award,None,None,341600,8% (Much faster than average),29000
https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,     Web developers and digital interface designers,"$73,760 per year  $35.46 per hour",Associate's degree,None,None,174300,8% (Much faster than average),14000
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,     Electricians,"$56,180 per year  $27.01 per hour",High school diploma or equivalent,None,Apprenticeship,739200,8% (Much faster than average),62200
https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,     Nursing assistants,"$29,640 per year  $14.25 per hour",See How to Become One,None,See How to Become One,1579100,8% (Much faster than average),119500
https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,"     Hosts and hostesses, restaurant, lounge, and coffee shop","$23,000 per year  $11.06 per hour",No formal educational credential,None,Short-term on-the-job training,5324100,10% (Much faster than average),552400
https://www.bls.gov/ooh/management/construction-managers.htm,     Construction managers,"$95,260 per year  $45.80 per hour",Bachelor's degree,None,Moderate-term on-the-job training,476700,8% (Much faster than average),40400
https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm,     Orthotists and prosthetists,"$68,410 per year  $32.89 per hour",Master's degree,None,Internship/residency,10000,17% (Much faster than average),1700
https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,     Mental health and substance abuse social workers,"$50,470 per year  $24.26 per hour",See How to Become One,None,See How to Become One,713200,13% (Much faster than average),90700
https://www.bls.gov/ooh/transportation-and-material-moving/flight-attendants.htm,     Flight attendants,"$56,640 per year",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,121900,17% (Much faster than average),21100
https://www.bls.gov/ooh/healthcare/phlebotomists.htm,     Phlebotomists,"$35,510 per year  $17.07 per hour",Postsecondary nondegree award,None,None,132600,17% (Much faster than average),22800
https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,     Social and community service managers,"$67,150 per year  $32.28 per hour",Bachelor's degree,Less than 5 years,None,175500,17% (Much faster than average),29800
https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,     Diagnostic medical sonographers,"$68,750 per year  $33.05 per hour",Associate's degree,None,None,131700,12% (Much faster than average),15600
https://www.bls.gov/ooh/personal-care-and-service/skincare-specialists.htm,     Skincare specialists,"$34,090 per year  $16.39 per hour",Postsecondary nondegree award,None,None,78600,17% (Much faster than average),13100
https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,     Social and human service assistants,"$35,060 per year  $16.85 per hour",High school diploma or equivalent,None,Short-term on-the-job training,425600,17% (Much faster than average),71500
https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,     Training and development specialists,"$61,210 per year  $29.43 per hour",Bachelor's degree,Less than 5 years,None,327900,9% (Much faster than average),28200
https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,     Refuse and recyclable material collectors,"$28,710 per year  $13.80 per hour",No formal educational credential,None,Short-term on-the-job training,4231600,3% (As fast as average),121300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#339092,"     Lifeguards, ski patrol, and other recreational protective service workers",,,,,,,
https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm,     Pest control workers,"$37,330 per year  $17.95 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,87600,9% (Much faster than average),7500
https://www.bls.gov/ooh/management/public-relations-managers.htm,     Public relations and fundraising managers,"$116,180 per year  $55.86 per hour",Bachelor's degree,5 years or more,None,88000,9% (Much faster than average),8100
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,     Tile and stone setters,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Biological science teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/community-and-social-service/marriage-and-family-therapists.htm,     Marriage and family therapists,"$49,610 per year  $23.85 per hour",Master's degree,None,Internship/residency,66200,22% (Much faster than average),14800
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,     Film and video editors,"$59,810 per year  $28.76 per hour",Bachelor's degree,None,None,67900,18% (Much faster than average),12400
https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,     Software developers and software quality assurance analysts and testers,"$107,510 per year  $51.69 per hour",Bachelor's degree,None,None,1469200,22% (Much faster than average),316000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#433099,"     Financial clerks, all other",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475098,"     Underground mining machine operators and extraction workers, all other",,,,,,,
https://www.bls.gov/ooh/legal/court-reporters.htm,     Court reporters and simultaneous captioners,"$60,130 per year  $28.91 per hour",Postsecondary nondegree award,None,Short-term on-the-job training,15700,9% (Much faster than average),1400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#533011,"     Ambulance drivers and attendants, except emergency medical technicians",,,,,,,
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,     Gambling managers,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#432099,"     Communications equipment operators, all other",,,,,,,
