occupation_name,url,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
     Veterinarians,https://www.bls.gov/ooh/healthcare/veterinarians.htm,nan,nan,nan,nan,nan,nan,nan
     Veterinary assistants and laboratory animal caretakers,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,nan,nan,nan,nan,nan,nan,nan
"     Crematory operators and personal care and service workers, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#399098,nan,nan,nan,nan,nan,nan,nan
     First-line supervisors of gambling services workers,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,nan,nan,nan,nan,nan,nan,nan
     Veterinary technologists and technicians,https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,nan,nan,nan,nan,nan,nan,nan
     Occupational therapists,https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,nan,nan,nan,nan,nan,nan,nan
     Industrial machinery mechanics,https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,nan,nan,nan,nan,nan,nan,nan
     Registered nurses,https://www.bls.gov/ooh/healthcare/registered-nurses.htm,nan,nan,nan,nan,nan,nan,nan
"     Media and communication workers, all other",https://www.bls.gov/ooh/media-and-communication/announcers.htm,nan,nan,nan,nan,nan,nan,nan
"     Locker room, coatroom, and dressing room attendants",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#393093,nan,nan,nan,nan,nan,nan,nan
     Recreational therapists,https://www.bls.gov/ooh/healthcare/recreational-therapists.htm,nan,nan,nan,nan,nan,nan,nan
     Archivists,https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,nan,nan,nan,nan,nan,nan,nan
"     Arbitrators, mediators, and conciliators",https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm,nan,nan,nan,nan,nan,nan,nan
"     Compensation, benefits, and job analysis specialists",https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,nan,nan,nan,nan,nan,nan,nan
     Gambling dealers,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,nan,nan,nan,nan,nan,nan,nan
"     Meeting, convention, and event planners",https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,nan,nan,nan,nan,nan,nan,nan
"     Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#299098,nan,nan,nan,nan,nan,nan,nan
     Dietitians and nutritionists,https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm,nan,nan,nan,nan,nan,nan,nan
"     Environmental scientists and specialists, including health",https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,nan,nan,nan,nan,nan,nan,nan
     Actuaries,https://www.bls.gov/ooh/math/actuaries.htm,nan,nan,nan,nan,nan,nan,nan
     Physical therapists,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,nan,nan,nan,nan,nan,nan,nan
"     Nursing instructors and teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,nan,nan,nan,nan,nan,nan,nan
     Market research analysts and marketing specialists,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,nan,nan,nan,nan,nan,nan,nan
     Computer user support specialists,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,nan,nan,nan,nan,nan,nan,nan
     Loan interviewers and clerks,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,nan,nan,nan,nan,nan,nan,nan
     First-line supervisors of housekeeping and janitorial workers,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#371011,nan,nan,nan,nan,nan,nan,nan
"     Educational, guidance, and career counselors and advisors",https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,nan,nan,nan,nan,nan,nan,nan
"     Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm,nan,nan,nan,nan,nan,nan,nan
     Web developers and digital interface designers,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,nan,nan,nan,nan,nan,nan,nan
     Electricians,https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,nan,nan,nan,nan,nan,nan,nan
     Nursing assistants,https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,nan,nan,nan,nan,nan,nan,nan
"     Hosts and hostesses, restaurant, lounge, and coffee shop",https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Construction managers,https://www.bls.gov/ooh/management/construction-managers.htm,nan,nan,nan,nan,nan,nan,nan
     Orthotists and prosthetists,https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm,nan,nan,nan,nan,nan,nan,nan
     Mental health and substance abuse social workers,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Flight attendants,https://www.bls.gov/ooh/transportation-and-material-moving/flight-attendants.htm,nan,nan,nan,nan,nan,nan,nan
     Phlebotomists,https://www.bls.gov/ooh/healthcare/phlebotomists.htm,nan,nan,nan,nan,nan,nan,nan
     Social and community service managers,https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,nan,nan,nan,nan,nan,nan,nan
     Diagnostic medical sonographers,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,nan,nan,nan,nan,nan,nan,nan
     Skincare specialists,https://www.bls.gov/ooh/personal-care-and-service/skincare-specialists.htm,nan,nan,nan,nan,nan,nan,nan
     Social and human service assistants,https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,nan,nan,nan,nan,nan,nan,nan
     Training and development specialists,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,nan,nan,nan,nan,nan,nan,nan
     Refuse and recyclable material collectors,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,nan,nan,nan,nan,nan,nan,nan
"     Lifeguards, ski patrol, and other recreational protective service workers",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#339092,nan,nan,nan,nan,nan,nan,nan
     Pest control workers,https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Public relations and fundraising managers,https://www.bls.gov/ooh/management/public-relations-managers.htm,nan,nan,nan,nan,nan,nan,nan
     Tile and stone setters,https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,nan,nan,nan,nan,nan,nan,nan
"     Biological science teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,nan,nan,nan,nan,nan,nan,nan
     Marriage and family therapists,https://www.bls.gov/ooh/community-and-social-service/marriage-and-family-therapists.htm,nan,nan,nan,nan,nan,nan,nan
     Film and video editors,https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,nan,nan,nan,nan,nan,nan,nan
     Software developers and software quality assurance analysts and testers,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,nan,nan,nan,nan,nan,nan,nan
"     Financial clerks, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#433099,nan,nan,nan,nan,nan,nan,nan
"     Underground mining machine operators and extraction workers, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475098,nan,nan,nan,nan,nan,nan,nan
     Court reporters and simultaneous captioners,https://www.bls.gov/ooh/legal/court-reporters.htm,nan,nan,nan,nan,nan,nan,nan
"     Ambulance drivers and attendants, except emergency medical technicians",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#533011,nan,nan,nan,nan,nan,nan,nan
     Gambling managers,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,nan,nan,nan,nan,nan,nan,nan
"     Communications equipment operators, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#432099,nan,nan,nan,nan,nan,nan,nan
     Dental laboratory technicians,https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,nan,nan,nan,nan,nan,nan,nan
"     Engineering teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,nan,nan,nan,nan,nan,nan,nan
     Commercial pilots,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,nan,nan,nan,nan,nan,nan,nan
"     Psychology teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,nan,nan,nan,nan,nan,nan,nan
     Physical therapist aides,https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,nan,nan,nan,nan,nan,nan,nan
     Computer numerically controlled tool programmers,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,nan,nan,nan,nan,nan,nan,nan
"     Environmental science and protection technicians, including health",https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm,nan,nan,nan,nan,nan,nan,nan
     Private detectives and investigators,https://www.bls.gov/ooh/protective-service/private-detectives-and-investigators.htm,nan,nan,nan,nan,nan,nan,nan
"     Special education teachers, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#252059,nan,nan,nan,nan,nan,nan,nan
